HSI #,Site Name,Lattitude,Longitude,Address,City,County,List Date,Class,Site Summary,Investigation/ Cleanup Funding,Icon
10133,"Excalibur Realty (fka Chemical Specialties, Inc.)",30.80972,-83.28750,1219 Old Clyattville Road,Valdosta,Lowndes,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10133/download,RP,small_red
10135,Monroe Auto Equipment Company (Tenneco),34.35389,-82.94306,200 McIntyre Drive,Hartwell,Hart,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10135/download,RP,small_red
10136,Monsanto Chemical Company - (former NPL Site),33.39083,-81.99056,1610 Marvin Griffin Road,Augusta,Richmond,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10136/download,RP,small_red
10137,York Casket Hardware (fka Piedmont Metals),33.96472,-84.00028,506 Maltbie Street,Lawrenceville,Gwinnett,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10137/download,RP,small_red
10139,304 N Dudley Street Site,32.07472,-84.23833,304 N Dudley Street,Americus,Sumter,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10139/download,RP,small_red
10140,Union Timber,31.02972,-82.76639,US Route 84,Homerville,Clinch,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10140/download,A,small_yellow
10141,Southern States,33.38583,-84.29000,30 Georgia Ave.,Hampton,Henry,6/30/97,V,https://epd.georgia.gov/document/pdf/23-10141/download,RP,small_red
10142,So Green Waste Pile,31.44222,-83.51056,Highland Avenue,Tifton,Tift,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10142/download,RP,small_red
10143,Parramore Fertilizer,31.44028,-83.51250,Highland Avenue,Tifton,Tift,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10143/download,RP,small_red
10144,LCP Chemicals - NPL Site,31.18361,-81.51083,4125 Ross Road,Brunswick,Glynn,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10144/download,RP,small_red
10145,Olin Corporation,33.34472,-81.95000,2402 Doug Barnard Pkwy,Augusta,Richmond,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10145/download,RP,small_red
10146,Air Force Plant 6,33.90639,-84.51333,86 South Cobb Drive,Marietta,Cobb,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10146/download,RP,small_red
10147,Ashland Chemical Company,33.90500,-84.24278,4550-B Northeast Expressway,Doraville,Dekalb,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10147/download,RP,small_red
10151,Signal Energy Holdings (Former Young Refining ),33.76306,-84.73111,7982 Huey Road,Douglasville,Douglas,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10151/download,RP,small_red
10152,Peach Metal Industries,32.67444,-83.76500,Boy Scout Road at Juniper Creek Road,Byron,Peach,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10152/download,A,small_yellow
10154,Douglas & Lomason Company,33.39167,-84.82278,317 Temple Avenue,Newnan,Coweta,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10154/download,RP,small_red
10157,Manor Timber Company,31.07778,-82.63417,Black Ankle Road,Argyle,Clinch,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10157/download,RP,small_red
10162,Ashland Chemical Company,32.08139,-81.13722,400 Telfair Road,Savannah,Chatham,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10162/download,RP,small_red
10165,Conyers Battery Exchange,33.67361,-84.04611,1796 SW Old Covington Highway,Conyers,Rockdale,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10165/download,A,small_yellow
10167,Macon Naval Ordnance Landfill (Former) - NPL Site,32.76917,-83.64694,John W. Garland Drive,Macon,Bibb,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10167/download,RP,small_red
10170,A&D Barrel & Drum Company,33.77361,-84.40833,647 Donald Lee Hollowell Parkway,Atlanta,Fulton,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10170/download,A,small_yellow
10172,"A.I.D. Company, Div. of Roller Bearing Co. of America.",34.87722,-83.38667,250 Laurel Heights Drive,Clayton,Rabun,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10172/download,RP,small_red
10179,Deptford Tract Landfill,32.07167,-81.04056,100 Seaport Blvd.,Savannah,Chatham,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10179/download,RP,small_red
10180,Robins Air Force Base - NPL Site,32.62083,-83.58167,Highway 247,Robins AFB,Houston,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10180/download,RP,small_red
10188,Atlas Chemical Company,33.09611,-82.02306,Junction 11th Street & Hale Street,Waynesboro,Burke,7/1/94,II,https://epd.georgia.gov/document/pdf/23-10188/download,RP,small_red
10191,Barlow Creosote,31.05778,-82.64250,Route 2 (Antioch Church Road),Argyle,Clinch,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10191/download,A,small_yellow
10192,Berrien Products,31.20667,-83.24167,East Marion Ave. (Hwy 76) (East of N. Mathis St.),Nashville,Berrien,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10192/download,A,small_yellow
10196,Estech General Chemicals,33.79083,-84.43528,1551 Marietta Road at Inman Railyard,Atlanta,Fulton,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10196/download,RP,small_red
10198,Gordon Service Company,32.85389,-83.35222,"Hwy 18; 1,300 ft S of Hwy 18 & 57 intersection",Gordon,Wilkinson,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10198/download,RP,small_red
10200,"Martin Fireproofing Georgia, Inc.",34.08500,-82.84361,1318 Washington Highway,Elberton,Elbert,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10200/download,A,small_yellow
10202,McCranie Brothers Wood Preserving,31.33694,-83.04194,US Hwy 82 (Coffee Avenue & Wilcox Street),Willacoochee,Atkinson,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10202/download,A,small_yellow
10204,Metalplate Galvanizing Corp,33.74528,-84.54556,505 Selig Drive SW,Atlanta,Fulton,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10204/download,RP,small_red
10205,Moultrie Wood Preserving Company,31.18139,-83.77194,1st Avenue NE,Moultrie,Colquitt,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10205/download,A,small_yellow
10206,Murrow Brothers Delinting Waste,33.77972,-83.42500,3361 Macon Highway,Farmington,Oconee,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10206/download,A,small_yellow
10208,139 Brampton Road,32.10750,-81.14472,139 Brampton Road,Garden City,Chatham,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10208/download,RP,small_red
10219,W. F. Harris & Sons Wood Preserving,32.96000,-84.41083,1261 Willingham Springs Road,Thomaston,Upson,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10219/download,A,small_yellow
10221,Akzo Coatings (Former),31.77056,-82.32917,1202 East Parker Street,Baxley,Appling,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10221/download,RP,small_red
10233,S&M Scrap Metal Company,31.44611,-83.48917,Highway 82 East and Highway 319,Tifton,Tift,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10233/download,A,small_yellow
10241,Union Camp Corp - Allen Blvd Landfill,32.10194,-81.13111,Allen Blvd next to SEPCO Substation,Savannah,Chatham,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10241/download,RP,small_red
10242,Terry Creek Dredge Spoil Area- NPL site,31.16694,-81.46778,Terry & Dupree Creeks-east of US 17 & Torras Cause,Brunswick,Glynn,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10242/download,RP,small_red
10245,Oil Processing Corp (Former),33.18917,-82.39417,Industrial Street,Wrens,Jefferson,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10245/download,RP,small_red
10246,Morgan Post Treating Impoundment,31.04306,-82.73444,North of 887 Waycross Highway,Homerville,Clinch,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10246/download,A,small_yellow
10250,Lyndal Chemical (aka Chemical Processing of Georgia),34.79556,-84.96556,1338 Coronet Drive,Dalton,Whitfield,6/29/94,III,https://epd.georgia.gov/document/pdf/23-10250/download,RP,small_red
10251,Chemresol,31.22722,-81.52389,145 East Crispen Blvd,Brunswick,Glynn,6/29/94,II,https://epd.georgia.gov/document/pdf/23-10251/download,RP,small_red
10260,Griffith Oil Company,34.06111,-83.54722,B Whitfield Road,Jefferson,Jackson,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10260/download,A,small_yellow
10269,University of Georgia - Milledge Avenue Site,33.90583,-83.38528,2450 S Milledge Avenue,Athens,Clarke,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10269/download,L,small_green 
10270,Hall County - Allen Creek Sanitary Landfill,34.25333,-83.77556,2684 Allen Creek Road,Gainesville,Hall,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10270/download,L,small_green 
10271,Cheatham Road Landfill (Phase 2 Cobb County),34.01389,-84.73667,2500 Pitner Road,Acworth,Cobb,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10271/download,L,small_green 
10272,Miller Bottom Road Landfill,33.74222,-83.92583,Miller Bottom Road,Conyers,Rockdale,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10272/download,L,small_green 
10274,Speedway SR 324 Landfill,33.96889,-83.77333,967 Carl Bethlehem Road,Winder,Barrow,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10274/download,RP,small_red
10275,Clinch County - Smith Road Landfill Phase 1 (SL),31.07028,-82.75972,Smith Road,Homerville,Clinch,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10275/download,L,small_green 
10276,Southern States Landfill,33.82583,-84.46528,Bolton Road between Marietta Blvd and South Cobb D,Atlanta,Fulton,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10276/download,RP,small_red
10277,Athens-Clarke County - Dunlap Rd (SL) MSWL,33.92472,-83.26333,"Hwy 78 East, Dunlap Road",Athens,Clarke,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10277/download,L,small_green 
10278,Butts County - Brownlee Road Landfill,33.27417,-83.96917,Brownlee Road,Jackson,Butts,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10278/download,L,small_green 
10281,Rabun Apparel (formerly Rabun Mills),34.95444,-83.37917,398 Kellys Creek Road,Rabun Gap,Rabun,6/29/94,V,https://epd.georgia.gov/document/pdf/23-10281/download,RP,small_red
10282,4th Street Landfill (Brunswick Airport),31.18583,-81.47722,4th St & Community Action Drive,Brunswick,Glynn,6/29/94,I,https://epd.georgia.gov/document/pdf/23-10282/download,L,small_green 
10283,Ben Hill County - Joshlyn Road MSWL,31.74333,-83.20667,Joshlyn Rd,Fitzgerald,Ben Hill,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10283/download,L,small_green 
10286,Button Gwinnett Landfill,33.92333,-84.04639,Arnold Road off Hwy 29,Lawrenceville,Gwinnett,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10286/download,RP,small_red
10288,Columbus Municipal Landfill,32.39389,-84.96583,South Lumpkin Road,Columbus,Muscogee,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10288/download,L,small_green 
10289,Cordele-Crisp City-County Landfill,31.86528,-83.75167,3354 Hwy 41 South,Cordele,Crisp,6/29/94,IV,https://epd.georgia.gov/document/pdf/23-10289/download,L,small_green 
