Id,Label,date,lat,long,name,node_class,site_class
10180,Robins Air Force Base - NPL Site,6/29/94,32.62083,-83.58167,Robins Air Force Base - NPL Site,Site,RP
10188,Atlas Chemical Company,7/1/94,33.09611,-82.02306,Atlas Chemical Company,Site,RP
10191,Barlow Creosote,6/29/94,31.05778,-82.6425,Barlow Creosote,Site,A
10192,Berrien Products,6/29/94,31.20667,-83.24167,Berrien Products,Site,A
10196,Estech General Chemicals,6/29/94,33.79083,-84.43528,Estech General Chemicals,Site,RP
10198,Gordon Service Company,6/29/94,32.85389,-83.35222,Gordon Service Company,Site,RP
10200,"Martin Fireproofing Georgia, Inc.",6/29/94,34.085,-82.84361,"Martin Fireproofing Georgia, Inc.",Site,A
10202,McCranie Brothers Wood Preserving,6/29/94,31.33694,-83.04194,McCranie Brothers Wood Preserving,Site,A
10204,Metalplate Galvanizing Corp,6/29/94,33.74528,-84.54556,Metalplate Galvanizing Corp,Site,RP
10205,Moultrie Wood Preserving Company,6/29/94,31.18139,-83.77194,Moultrie Wood Preserving Company,Site,A
10206,Murrow Brothers Delinting Waste,6/29/94,33.77972,-83.425,Murrow Brothers Delinting Waste,Site,A
10208,139 Brampton Road,6/29/94,32.1075,-81.14472,139 Brampton Road,Site,RP
10219,W. F. Harris & Sons Wood Preserving,6/29/94,32.96,-84.41083,W. F. Harris & Sons Wood Preserving,Site,A
10221,Akzo Coatings (Former),6/29/94,31.77056,-82.32917,Akzo Coatings (Former),Site,RP
10233,S&M Scrap Metal Company,6/29/94,31.44611,-83.48917,S&M Scrap Metal Company,Site,A
10241,Union Camp Corp - Allen Blvd Landfill,6/29/94,32.10194,-81.13111,Union Camp Corp - Allen Blvd Landfill,Site,RP
10242,Terry Creek Dredge Spoil Area- NPL site,6/29/94,31.16694,-81.46778,Terry Creek Dredge Spoil Area- NPL site,Site,RP
10245,Oil Processing Corp (Former),6/29/94,33.18917,-82.39417,Oil Processing Corp (Former),Site,RP
10246,Morgan Post Treating Impoundment,6/29/94,31.04306,-82.73444,Morgan Post Treating Impoundment,Site,A
10250,Lyndal Chemical (aka Chemical Processing of Georgia),6/29/94,34.79556,-84.96556,Lyndal Chemical (aka Chemical Processing of Georgia),Site,RP
10251,Chemresol,6/29/94,31.22722,-81.52389,Chemresol,Site,RP
10260,Griffith Oil Company,6/29/94,34.06111,-83.54722,Griffith Oil Company,Site,A
10269,University of Georgia - Milledge Avenue Site,6/29/94,33.90583,-83.38528,University of Georgia - Milledge Avenue Site,Site,L
10270,Hall County - Allen Creek Sanitary Landfill,6/29/94,34.25333,-83.77556,Hall County - Allen Creek Sanitary Landfill,Site,L
10271,Cheatham Road Landfill (Phase 2 Cobb County),6/29/94,34.01389,-84.73667,Cheatham Road Landfill (Phase 2 Cobb County),Site,L
10272,Miller Bottom Road Landfill,6/29/94,33.74222,-83.92583,Miller Bottom Road Landfill,Site,L
10274,Speedway SR 324 Landfill,6/29/94,33.96889,-83.77333,Speedway SR 324 Landfill,Site,RP
10275,Clinch County - Smith Road Landfill Phase 1 (SL),6/29/94,31.07028,-82.75972,Clinch County - Smith Road Landfill Phase 1 (SL),Site,L
10276,Southern States Landfill,6/29/94,33.82583,-84.46528,Southern States Landfill,Site,RP
10277,Athens-Clarke County - Dunlap Rd (SL) MSWL,6/29/94,33.92472,-83.26333,Athens-Clarke County - Dunlap Rd (SL) MSWL,Site,L
10278,Butts County - Brownlee Road Landfill,6/29/94,33.27417,-83.96917,Butts County - Brownlee Road Landfill,Site,L
10281,Rabun Apparel (formerly Rabun Mills),6/29/94,34.95444,-83.37917,Rabun Apparel (formerly Rabun Mills),Site,RP
10282,4th Street Landfill (Brunswick Airport),6/29/94,31.18583,-81.47722,4th Street Landfill (Brunswick Airport),Site,L
10283,Ben Hill County - Joshlyn Road MSWL,6/29/94,31.74333,-83.20667,Ben Hill County - Joshlyn Road MSWL,Site,L
10286,Button Gwinnett Landfill,6/29/94,33.92333,-84.04639,Button Gwinnett Landfill,Site,RP
